place,residue,population,near_nature,near_river,puntos_negros
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Vidrio,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Madera y Corcho,188000.0,0.0,0.0,0
Leganés,Plásticos y Caucho,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Vidrio,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Plásticos y Caucho,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Madera y Corcho,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Papel y Cartón,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Madera y Corcho,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Plásticos y Caucho,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Sustancias Químicas Peligrosas y Materiales,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Leganés,Metales y Aleaciones,188000.0,0.0,0.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
Fuente el Saz de Jarama,Sustancias Químicas Peligrosas y Materiales,7000.0,1.0,1.0,0
